st70-Coste;st70-EVs;ch130-Coste;ch130-EVs;a280-Coste;a280-EVs
1147;8347;17357;11592;12597;20267
1360;7724;17056;11053;12310;21101
1155;8394;17258;11875;12832;20789
1170;8332;16030;11809;12353;20371
1327;8120;16183;11579;12372;20748
