st70-Coste;st70-EVs;ch130-Coste;ch130-EVs;a280-Coste;a280-EVs
781;8119;7431;13766;3115;20395
792;8230;7504;14454;3131;20459
761;8950;7433;14111;3137;19615
792;8277;7451;14520;3132;20177
790;8519;7502;13971;3132;19683
